"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AC1","LSM6DSOXTR","https://www.st.com/resource/en/datasheet/lsm6dsox.pdf","LSM6DSOXTR:LGA-14_1","1",""
"C1,C2,C16","0.1µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C3","10µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C4,C10","4.7µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C5","470pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C6","150µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C7,C8,C17,C18,C19,C20,C21","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7",""
"C9","2.2µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C11","4.7nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C12,C13,C14,C15","1µF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"F1,F2","MF-MSMF075-2","https://www.bourns.com/pdfs/mfmsmf.pdf","Fuse:Fuse_Bourns_MF-SM_7.98x5.44mm","2",""
"IC1","MDBT53-P1M","https://www.raytac.com/download/index.php?index_id=60","MDBT53-P1M:MDBT53P1M","1",""
"IC2","LTC3119EFE#PBF","https://www.arrow.com/en/products/ltc3119efepbf/analog-devices","LTC3119EFE#PBF:SOP65P640X120-29N","1",""
"IC3,IC4","DRV2605LDGSR","http://www.ti.com/lit/gpn/drv2605l","DRV2605LDGSR:SOP50P490X110-10N","2",""
"IC5","TCA9546ADR","http://www.ti.com/lit/ds/symlink/tca9546a.pdf","TCA9546ADR:SOIC127P600X175-16N","1",""
"J1","Conn_02x05_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1",""
"J2,J3,J4,J5,J6,J7,J8","Conn_01x02_Pin","~","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","7",""
"J9","Conn_01x02_Pin","~","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1",""
"J10","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J11,J12,J14,J16","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","4",""
"J13","Conn_01x05_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J15","Conn_01x01_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"L1","2.2µH","~","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"R1,R5","100k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R2","48.7k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R3","52.3k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4","316k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R6,R7,R8,R9,R20,R21,R22,R23","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8",""
"R10,R12,R14,R16,R18","22k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"R11,R13,R15,R17,R19","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"Y1","FC-135R_32.7680KA-AG0","","FC-135R_32.768KA-AGO:XTAL_FC-135R_32.7680KA-AG0","1",""
